"Name","DTF_Ro16","DTF_Ro17","DTF_Su16","DTF_Su17","REP_Ro16","REP_Ro17","REP_Su16","REP_Su17","TFT_0_Su16","TFT_Tb_Su16","TFT_0_Su17","TFT_Tb_Su17","TFT_0_Ro16","TFT_Tb_Ro16","TFT_0_Ro17","TFT_Tb_Ro17","TRT_0_Su16","TRT_Tb_Su16","TRT_0_Su17","TRT_Tb_Su17","TRT_0_Ro16","TRT_Tb_Ro16","TRT_0_Ro17","TRT_Tb_Ro17","PC1","PC2","PC3","PC4"
"PI_374117_LSP_AGL",44,43,47,48,48,38,47.7,36.3,574.4,2385.2,578.6,2398.6,653.6,2547.2,594.3,2484.3,904.4,3318.8,690.2,2614.2,999.6,3577,772.9,2878.9,-1.0516,-1.5476,1.1615,-1.2597
"PI_374118_AGL",44,44.3,46.7,47.7,46.3,33.3,42.7,36.7,554.1,2864.1,568.3,2948.3,653.6,3130.4,598.1,3083.1,806.8,3644.8,690.2,3206.2,956.9,4190.5,661.1,3004.1,-1.5786,-1.9317,-0.9714,1.9421
"PI_374120_LSP_AGL",48,49,54,56.7,49.3,NA,42.3,32.5,682.3,2950.3,715,3325,751.7,3170.7,719.4,3179.4,807.9,3246,638.6,2494.6,1002.9,3952.9,0,0,-3.7013,-1.2336,-1.0078,-1.1189
"PI_374121_AGL",45.3,45.7,49.7,50.7,48.7,34.5,44.3,37.3,605.7,2093.1,601.3,2118.3,672.8,2223.1,635.5,2226.5,842.4,2651.4,736.5,2294.5,998.7,3051.8,696.4,2201.4,1.7442,-1.6698,-2.0987,2.0658
"PI_379368_LSP_AGL",45.7,46,48.7,50,50.3,33,46.3,37,598.8,2308.2,607.8,2431.8,684.5,2516.1,642.9,2492.9,878.9,3050.3,728.3,2552.3,1030.1,3488.3,676.9,2376.9,2.209,0.149,-3.3506,1.5277
"PI_383682_LSP_AGL",47.7,44.7,48.7,48.3,47,35.7,49.7,39.5,567.7,1930.9,585,2169,701.2,2396,612,2268,930.8,3060.8,739.6,2455.6,955.6,3051.8,719.9,2375.9,15.0689,-0.1489,-0.0121,0.0521
"PI_420818_AGL",49.3,46,50.7,51.7,46,34.7,42.7,37.5,622.1,3358.1,620.4,3506.4,762.6,3833.5,656.8,3582.8,806,3902,741.4,3553.4,923.7,4369.1,696.4,3391.4,-4.5072,-1.0719,-0.9803,2.7268
"PI_420924_LSP_AGL",45,44.3,48.3,47.7,49,34.7,43,38.5,582.3,3382.3,577.7,3529.7,684.5,3846.1,612,3672,800.5,4240.5,732,3930,1017.9,5177.9,700.3,3675.3,5.0548,0.5527,1.7644,-1.6465
"PI_420925_LSP_AGL",47.3,45.7,50.3,48,44.3,30,42,34,608.3,4381.3,585,4581,715.9,5080,621.5,4761.5,786.4,5314,646.2,4531.2,898.1,5821.7,602.6,4052.6,0.0048,0.4861,0.1494,0.0061
"PI_420929_LSP_AGL",46.3,45.7,50,50.3,43.3,33.3,43.3,32.7,616.1,3568.7,607.8,3723.8,692.9,3843.1,621.5,3681.5,822.4,4333.6,627.3,3333.3,881.6,4446.3,676.9,3566.9,5.1031,1.3965,1.7741,1.3028
"PI_426202_LSP_AGL",47.3,45.7,49.7,48,46,35,44.3,37.3,595.1,2271.6,578.6,2293.6,715.9,2669.8,621.5,2457.5,842.4,2997.9,712.2,2574.2,939.1,3243.7,696.4,2481.4,0.0622,1.9922,-1.208,-0.2504
"PI_426778_LSP_AGL",48,45.3,49,49.3,48.7,36,48,38,562.4,1712.5,596.3,2002.3,725.3,2242.4,621.5,2061.5,915.4,2733.3,704,2110,987,2893.1,712.1,2152.1,-5.2566,-0.4426,-1.2397,-0.5081
"PI_426784_LSP_AGL",45.7,40.3,46,46.3,43.3,33.3,46.3,34.5,523,1405,536.7,1496.7,658.1,1759.7,531.2,1492.2,883.2,2265,662.4,1742.4,901.8,2248.2,656,1679,NA,NA,NA,NA
"PI_426797_LSP_AGL",43.7,40.3,46,44.3,46.3,35,45,36.3,523,1609,521.6,1705.6,636.8,1959.8,517.1,1687.1,863.5,2528.7,655,1987,956.9,2733.5,692.9,2057.9,-15.7412,0.0738,1.3147,1.7121
"PI_426807_LSP_AGL",44.7,42,48,45.7,48.7,34.7,46,37.3,574.4,2551.1,536.8,2582.8,638.9,2826.4,546.6,2594.6,884.1,3699.4,698.3,3054.3,1001.4,4063.9,698.4,2938.4,-11.5905,-6.4901,1.0247,-1.5962
"PI_431618_LSP_AGL",46.7,44.3,47.7,49,48,36.5,48.7,41,557.9,1530.3,605.7,1745.7,692.9,1832.9,612,1728,919.8,2321.2,776.8,2006.8,978.6,2418.6,719.9,1835.9,1.7031,1.6712,-1.3049,0.0071
"PI_431622_LSP_AGL",47.3,45,49.3,52,47.3,33.7,41.3,34.3,595.1,2180.6,637,2517,701.2,2502.4,635.5,2448.5,763.6,2620.9,679.9,2324.9,955.6,3183.4,681.1,2347.1,-4.6759,1.4945,-2.6314,-1.53
