"Name","Alanine_Ro17","Arginine_Ro17","Aspartic.acid_Ro17","Cysteine_Ro17","Glutamic.acid_Ro17","Glycine_Ro17","Histidine_Ro17","Isoleucine_Ro17","Leucine_Ro17","Lysine_Ro17","Methionine_Ro17","Phenylalanine_Ro17","Proline_Ro17","Protein_Ro17","Serine_Ro17","Threonine_Ro17","Tryptophan_Ro17","Tyrosine_Ro17","Valine_Ro17"
"PI_432033_LSP_AGL",1.0906,1.9435,3.1287,0.2759,4.1775,1.038,0.6596,1.1257,1.9141,1.7858,0.2605,1.3194,1.0972,26.4603,1.3106,1.1299,0.2097,0.8176,1.2996
"PI_432085_LSP_AGL",1.1999,2.2876,3.5255,0.2859,4.8449,1.1769,0.7566,1.3127,2.18,1.9888,0.2768,1.5184,1.2235,30.2109,1.5086,1.2274,0.2326,0.9269,1.4924
"PI_432106_LSP_AGL",1.1684,2.2199,3.3219,0.2634,4.6915,1.135,0.8346,1.2559,2.0972,1.8959,0.257,1.4567,1.2104,29.4932,1.4248,1.1751,0.2303,0.8782,1.4217
"PI_432124_LSP_AGL",1.1362,2.1245,3.3175,0.2852,4.4887,1.0911,0.7546,1.2144,2.0223,1.8749,0.2635,1.406,1.1475,28.3416,1.4053,1.1744,0.2234,0.8701,1.3796
"PI_432145_LSP_AGL",1.1211,2.141,3.3634,0.2852,4.4702,1.0969,0.7924,1.2051,2.0247,1.8625,0.2752,1.3998,1.1569,28.6235,1.3924,1.2127,0.221,0.8719,1.3696
"PI_432147_LSP_AGL",1.146,2.1388,3.3638,0.2925,4.4695,1.1329,0.8087,1.2094,2.0317,1.857,0.275,1.3995,1.1727,28.6694,1.4051,1.2091,0.2264,0.8737,1.3763
"PI_432184_LSP_AGL",1.1586,2.131,3.3657,0.2758,4.5336,1.128,0.7712,1.2261,2.0505,1.8785,0.2702,1.4228,1.1872,28.9104,1.4039,1.2177,0.2272,0.8631,1.3939
"PI_432188_LSP_AGL",1.1285,2.0994,3.2833,0.2675,4.4602,1.1122,0.7869,1.2053,2.0307,1.8558,0.2685,1.4057,1.1707,28.4654,1.377,1.222,0.2206,0.8666,1.3707
"PI_432190_LSP_AGL",1.1674,2.0551,3.1755,0.2575,4.5145,1.1032,0.6971,1.2281,2.0485,1.893,0.261,1.4292,1.1746,28.0863,1.401,1.154,0.2167,0.861,1.3941
"PI_432201_LSP_AGL",1.1379,2.1748,3.3174,0.2691,4.488,1.1378,0.9894,1.2043,2.0387,1.8555,0.262,1.4166,1.1827,29.1941,1.4025,1.2166,0.2268,0.8735,1.3701
"PI_432212_LSP_AGL",1.1975,2.2257,3.4771,0.2834,4.6651,1.1438,0.7952,1.2282,2.1018,1.9418,0.2794,1.448,1.1663,29.3173,1.4426,1.2235,0.2329,0.8966,1.4388
"PI_432236_LSP_AGL",1.1611,2.1661,3.3767,0.282,4.5067,1.0997,0.8247,1.196,2.0364,1.8819,0.266,1.407,1.1565,28.6674,1.3913,1.1743,0.2264,0.8636,1.3901
"PI_432245_LSP_AGL",1.1898,2.372,3.4785,0.2764,4.74,1.1759,1.0699,1.2621,2.1301,1.9084,0.2645,1.4789,1.2258,30.6097,1.4617,1.198,0.2348,0.9066,1.4451
"PI_432271_LSP_AGL",1.1748,2.2806,3.4008,0.2737,4.6791,1.1491,0.9174,1.2439,2.1114,1.9121,0.2613,1.4614,1.1971,29.6443,1.4363,1.1943,0.2304,0.886,1.4362
"PI_432286_LSP_AGL",1.1588,2.2779,3.2986,0.2532,4.6593,1.107,0.9236,1.2482,2.1051,1.8884,0.2474,1.4706,1.2112,29.6068,1.4304,1.1738,0.2217,0.8719,1.4311
"PI_451763_LSP_AGL",1.1528,2.1166,3.2253,0.261,4.5512,1.1246,0.7438,1.2255,2.0572,1.884,0.2612,1.4324,1.1924,28.5625,1.3964,1.1623,0.2236,0.8626,1.4001
"PI_458503_LSP_AGL",1.0408,1.824,2.8769,0.2301,4.0447,1.0042,0.7708,1.1025,1.8432,1.7129,0.2341,1.2865,1.1187,26.1261,1.2476,1.0761,0.1954,0.7487,1.238
"PI_468900_LSP_AGL",1.1834,2.2371,3.3416,0.26,4.6571,1.1371,0.8962,1.2509,2.1022,1.9307,0.262,1.4617,1.207,29.7233,1.4367,1.2129,0.2247,0.8773,1.4327
"PI_468901_AGL",1.2051,2.3284,3.4714,0.2714,4.8236,1.1913,0.9323,1.2955,2.178,1.9835,0.2679,1.5091,1.2187,30.731,1.4932,1.2721,0.2341,0.9183,1.4865
"PI_468902_LSP_AGL",1.1488,2.2181,3.3214,0.2604,4.6149,1.1208,0.8803,1.2072,2.0589,1.8595,0.2541,1.4225,1.1958,29.2273,1.3838,1.1537,0.2248,0.842,1.3905
"PI_472136_LSP_AGL",1.0745,2.141,3.2028,0.2443,4.4234,1.0741,0.912,1.1829,2.0088,1.8113,0.2356,1.3985,1.1457,28.1423,1.3662,1.1248,0.21,0.8169,1.355
"PI_472205_LSP_AGL",1.059,2.0815,3.1295,0.2623,4.2553,1.021,0.8753,1.1477,1.9272,1.7483,0.2404,1.3516,1.1326,27.587,1.3166,1.1032,0.208,0.8209,1.3025
"PI_472213_LSP_AGL",1.1335,2.0327,3.2901,0.269,4.4399,1.1052,0.7817,1.2083,2.0164,1.8562,0.2636,1.3988,1.1642,28.304,1.3734,1.2257,0.2187,0.8625,1.3614
