"Name","Alanine_Su16","Arginine_Su16","Aspartic.acid_Su16","Cysteine_Su16","Glutamic.acid_Su16","Glycine_Su16","Histidine_Su16","Isoleucine_Su16","Leucine_Su16","Lysine_Su16","Methionine_Su16","Phenylalanine_Su16","Proline_Su16","Protein_Su16","Serine_Su16","Threonine_Su16","Tryptophan_Su16","Tyrosine_Su16","Valine_Su16"
"CDC_Sedley_AGL",1.1033,1.9877,3.1811,0.2495,4.4644,1.1003,1.0148,1.1823,2.0139,1.8357,0.2475,1.3625,1.1833,28.9572,1.3725,0.9844,0.2177,0.8244,1.3305
"CDC_Vantage_AGL",1.1914,1.9342,3.2952,0.2704,4.535,1.1576,0.9178,1.2052,2.0569,1.9051,0.2715,1.3822,1.1964,29.1758,1.4047,1.0635,0.2261,0.8453,1.3478
"CN_105604_AGL",1.0889,1.9259,3.1328,0.2346,4.4394,1.0831,1.0683,1.1658,1.999,1.8279,0.2519,1.3497,1.1525,28.9226,1.3609,0.9611,0.2104,0.7909,1.3165
"CN_105605_AGL",1.1824,2.0105,3.4172,0.2657,4.6417,1.1373,0.8825,1.221,2.0989,1.9342,0.2788,1.4014,1.1884,29.4383,1.4305,1.0453,0.225,0.8292,1.3886
"CN_105715_AGL",1.2448,2.3673,3.6489,0.2641,5.1869,1.2267,1.0894,1.364,2.3126,2.0757,0.2664,1.5632,1.285,32.6912,1.5796,1.1131,0.2389,0.9028,1.5305
"CN_105732_AGL",1.2115,2.1813,3.4955,0.2566,4.9164,1.2058,1.0188,1.2795,2.1884,1.9875,0.2745,1.467,1.2612,31.2358,1.4846,1.0728,0.2308,0.8729,1.4384
"CN_105767_AGL",1.1441,2.0355,3.3104,0.2534,4.6002,1.1216,0.9862,1.2131,2.0829,1.8952,0.2594,1.4052,1.2119,29.5351,1.4028,1.0154,0.2162,0.8219,1.363
"CN_105777_AGL",1.2014,2.1855,3.5249,0.2614,4.8436,1.1633,1.1782,1.2435,2.1535,1.9502,0.2692,1.4456,1.2217,31.2324,1.4672,1.0191,0.2311,0.8556,1.4082
"CN_105789_AGL",1.2346,2.3117,3.7122,0.2704,5.0569,1.2273,1.0955,1.3103,2.2551,2.0175,0.285,1.5007,1.2539,32.1715,1.5346,1.1081,0.2416,0.8986,1.497
"CN_105791_AGL",1.1486,2.2677,3.5387,0.2716,4.8377,1.1358,1.16,1.2597,2.1557,1.9551,0.2529,1.4626,1.2279,31.33,1.4907,0.9997,0.2275,0.881,1.4333
"CN_105862_AGL",1.1604,2.0246,3.2898,0.2493,4.6665,1.1372,1.0041,1.2307,2.0909,1.919,0.2538,1.4077,1.2139,30.017,1.4305,0.9966,0.2227,0.8522,1.384
"CN_105863_AGL",1.1816,2.1658,3.3023,0.2373,4.8326,1.161,1.019,1.2576,2.1722,1.9689,0.2559,1.4613,1.2811,31.3606,1.4685,1.0568,0.2195,0.8427,1.4044
"CN_105864_AGL",1.1607,2.003,3.3417,0.2401,4.6704,1.1408,0.9985,1.2138,2.0905,1.9007,0.2631,1.3978,1.2117,29.5027,1.4066,1.0062,0.2157,0.8202,1.3567
"CN_105865_AGL",1.2844,2.37,3.6072,0.2536,5.1679,1.2488,1.2782,1.3243,2.2991,2.0569,0.2691,1.5348,1.3267,33.6934,1.55,1.1004,0.2447,0.92,1.4895
"CN_105866_AGL",1.0928,1.929,3.1109,0.2352,4.4213,1.0695,0.9728,1.1643,1.9853,1.832,0.2298,1.343,1.1681,28.3078,1.3651,0.9255,0.2088,0.7854,1.3127
"CN_105895_AGL",1.2222,2.2746,3.5951,0.2596,4.9821,1.2,1.0632,1.2971,2.2298,1.9975,0.2695,1.4933,1.2472,31.7249,1.512,1.0729,0.2371,0.8689,1.4778
"CN_106265_AGL",1.1611,2.0806,3.3764,0.2561,4.6732,1.1567,1.0723,1.2158,2.0934,1.8992,0.2567,1.4058,1.2057,30.0742,1.4194,1.022,0.2231,0.8303,1.3673
"CN_108369_AGL",1.2364,2.2391,3.4713,0.2498,4.936,1.1984,1.1764,1.2878,2.2203,1.9951,0.2604,1.4909,1.2847,31.9281,1.4912,1.029,0.2334,0.8811,1.4508
"CN_108370_AGL",1.2365,2.2794,3.6341,0.275,5.0783,1.2445,1.0492,1.3356,2.2687,2.0744,0.2772,1.5296,1.2546,32.1079,1.5677,1.149,0.2402,0.9305,1.5146
"Crimson_AGL",1.1641,2.0537,3.3816,0.2562,4.6798,1.1702,0.9945,1.2269,2.1106,1.9167,0.2635,1.4128,1.2194,30.1492,1.4246,1.0559,0.2297,0.8556,1.3946
"DPL_62_AGL",1.1567,2.1123,3.3638,0.2544,4.6865,1.1495,1.1837,1.2366,2.1141,1.9191,0.2502,1.4276,1.2243,30.7493,1.4516,1.0153,0.2246,0.8351,1.393
"Eston_AGL",1.1416,2.0642,3.3962,0.2585,4.6365,1.1491,1.094,1.2152,2.0821,1.8883,0.262,1.3947,1.2095,30.3493,1.4187,1.0116,0.2258,0.841,1.3706
"Gudo_AGL",1.1773,2.2591,3.4787,0.2606,4.914,1.184,1.1285,1.2949,2.1966,1.9576,0.2568,1.4848,1.2482,31.3242,1.5091,1.0395,0.2284,0.9026,1.4447
"IG_1046_AGL",1.2465,2.1303,3.5924,0.2755,4.7818,1.194,1.0343,1.2551,2.1625,1.9611,0.2783,1.4415,1.2506,31.1253,1.4666,1.0773,0.2418,0.871,1.4191
"IG_1706_AGL",1.3336,2.5254,4.0592,0.2873,5.2897,1.2629,1.0778,1.3581,2.3765,2.1204,0.2954,1.5768,1.3295,33.419,1.5894,1.1622,0.2589,0.9391,1.5704
"IG_1959_AGL",1.0434,1.7679,3.016,0.2508,4.1387,1.0302,0.9908,1.1006,1.8815,1.7641,0.248,1.2576,1.1115,27.5453,1.2883,0.9469,0.2075,0.7754,1.2426
"IG_4258_AGL",0.9949,1.7888,2.9843,0.2351,4.1288,1.007,1.039,1.0924,1.8638,1.7143,0.226,1.2613,1.0913,27.2848,1.2713,0.9295,0.1979,0.738,1.2167
"IG_4781_AGL",1.1777,2.0941,3.3577,0.2551,4.7495,1.1517,0.9616,1.256,2.1221,1.9293,0.2634,1.4384,1.2238,29.9937,1.4546,1.0262,0.2206,0.8518,1.3998
"IG_858_AGL",1.1302,2.0197,3.3101,0.2503,4.593,1.1144,1.016,1.1978,2.0536,1.872,0.2564,1.3765,1.1724,29.3334,1.3959,0.978,0.2207,0.8184,1.3535
"ILL_10657_AGL",1.2925,2.3064,3.7022,0.2861,5.1063,1.2648,0.9519,1.3276,2.2718,2.0493,0.2905,1.5225,1.2726,31.8905,1.5466,1.1363,0.2441,0.9317,1.5083
"ILL_10748_AGL",1.067,1.8753,3.0103,0.235,4.3313,1.0589,0.9446,1.1403,1.9514,1.792,0.2476,1.3182,1.1643,27.8747,1.3202,0.9391,0.2001,0.7765,1.2658
"ILL_11547_AGL",1.2809,2.4344,3.8489,0.2837,5.1876,1.2561,1.1778,1.3614,2.3134,2.0521,0.2757,1.5535,1.2821,32.9503,1.5809,1.1015,0.2472,0.9347,1.5438
"ILL_11548_AGL",1.1768,2.113,3.5038,0.2638,4.8225,1.1897,0.9852,1.2609,2.1598,1.9563,0.2817,1.4439,1.2144,30.614,1.4738,1.0931,0.2359,0.8582,1.4287
"ILL_11553_AGL",1.1045,1.9383,3.1721,0.2326,4.4417,1.0938,1.1036,1.168,2.0037,1.8158,0.2427,1.343,1.1847,29.1559,1.3484,0.9601,0.21,0.7738,1.3027
"ILL_11555_AGL",1.1704,2.1656,3.4053,0.2508,4.7492,1.1758,1.1492,1.2483,2.1353,1.9118,0.2575,1.4359,1.2464,30.757,1.4467,1.0361,0.2224,0.8385,1.394
"ILL_11557_AGL",1.1921,2.1246,3.3685,0.2461,4.706,1.1539,1.1729,1.2285,2.1213,1.901,0.2536,1.4239,1.2466,30.8221,1.4284,1.0201,0.2271,0.8247,1.3785
"ILL_11558_AGL",1.1424,1.9984,3.2307,0.2349,4.5046,1.1097,1.2124,1.1831,2.0371,1.8373,0.2434,1.3625,1.207,30.1233,1.3793,0.9535,0.2197,0.7876,1.3244
"ILL_1220_AGL",1.1969,1.9504,3.2748,0.2588,4.479,1.1238,0.9797,1.1899,2.0383,1.8838,0.2661,1.3648,1.1873,29.3851,1.3921,0.985,0.2264,0.8204,1.3573
"ILL_1553_AGL",1.2402,2.1645,3.5751,0.2767,4.9625,1.2102,0.958,1.3082,2.2188,2.0207,0.2834,1.4899,1.249,31.0958,1.5177,1.0799,0.2362,0.91,1.4673
