"Name","DTF_Ro16","DTF_Ro17","DTF_Su16","DTF_Su17","REP_Ro16","REP_Ro17","REP_Su16","REP_Su17"
"PI_379368_LSP_AGL",45.7,46,48.7,50,50.3,33,46.3,37
"PI_383682_LSP_AGL",47.7,44.7,48.7,48.3,47,35.7,49.7,39.5
"PI_420818_AGL",49.3,46,50.7,51.7,46,34.7,42.7,37.5
"PI_420924_LSP_AGL",45,44.3,48.3,47.7,49,34.7,43,38.5
"PI_420925_LSP_AGL",47.3,45.7,50.3,48,44.3,30,42,34
"PI_420929_LSP_AGL",46.3,45.7,50,50.3,43.3,33.3,43.3,32.7
"PI_426202_LSP_AGL",47.3,45.7,49.7,48,46,35,44.3,37.3
"PI_426778_LSP_AGL",48,45.3,49,49.3,48.7,36,48,38
"PI_426784_LSP_AGL",45.7,40.3,46,46.3,43.3,33.3,46.3,34.5
"PI_426797_LSP_AGL",43.7,40.3,46,44.3,46.3,35,45,36.3
"PI_426807_LSP_AGL",44.7,42,48,45.7,48.7,34.7,46,37.3
"PI_431618_LSP_AGL",46.7,44.3,47.7,49,48,36.5,48.7,41
"PI_431622_LSP_AGL",47.3,45,49.3,52,47.3,33.7,41.3,34.3
"PI_431630_LSP_AGL",46,44.7,48.7,48.7,47.3,36,45.7,39.3
"PI_431633_LSP_AGL",44.7,44.7,47.3,47.3,50.7,35.5,48,43
"PI_431636_LSP_AGL",45,42.7,46.3,47.3,49,38,47.7,39.3
"PI_431643_LSP_AGL",45.7,42,46.7,45.3,48.3,36.3,49.7,42
"PI_431662_LSP_AGL",46.3,44.7,49,50,48,32.7,45,35.3
"PI_431663_LSP_AGL",46,44.3,48.7,48,46,34.7,45.3,37
"PI_431679_LSP_AGL",46.7,46.7,51.3,53,46.7,35,43,35
"PI_431684_LSP_AGL",45.3,44.7,48,49,50,36.5,46.3,38
"PI_431705_LSP_AGL",46.3,46,49.7,48,47.7,34.3,41,38
"PI_431710_LSP_AGL",44,44.3,49,50.3,46.3,34,43.3,37.3
"PI_431714_LSP_AGL",45,45.7,49,51,49.7,30.7,47,37.3
"PI_431717_LSP_AGL",44.7,44,49,50.3,48.7,33,44.3,34
"PI_431728_LSP_AGL",46,45,48.7,50.3,46.7,32,43.7,34.5
"PI_431731_LSP_AGL",47.7,44.7,48.7,50,48,32,46,35
"PI_431739_LSP_AGL",46,44.3,48.3,47.7,46.7,33.3,47,38.7
"PI_431753_LSP_AGL",44.7,45,47.3,48,47,33,43.7,35
"PI_431756_LSP_AGL",44.7,44.3,49.3,49.3,48.7,31.3,43,35.7
"PI_431809_LSP_AGL",45.7,42,47,47.5,49,37.7,45.7,36.5
"PI_431824_LSP_AGL",45.7,42,46.7,45.3,51,40,49.3,40
"PI_431863_LSP_AGL",48.7,46.3,50,50.7,46,33.3,42.3,35.3
"PI_431873_LSP_AGL",43.7,45,50,48.7,51.3,36.5,45.7,39.3
